region_id,lat,lon,LC_Type1,Percent_Tree_Cover,NDVI
Alameda,37.64655838,-121.8859928,10,8,0.3494
Alpine,38.59710359,-119.8206161,9,34,0.2077
Amador,38.44660958,-120.6516756,1,58,0.7912
Butte,39.66655911,-121.600714,10,4,0.558
Calaveras,38.2044648,-120.5546768,8,29,0.6028
Colusa,39.17751355,-122.2367483,12,20,0.4546
Contra Costa,37.918934,-121.9263415,10,11,0.4022
Del Norte,41.74275471,-123.8969022,1,62,0.8184
El Dorado,38.77891132,-120.5250513,9,40,0.6992
Fresno,36.75855952,-119.6534113,9,2,0.4992
Glenn,39.59848588,-122.3920273,10,1,0.3659
Humboldt,40.69643259,-123.8740518,2,63,0.6866
Imperial,33.03994011,-115.3653593,12,10,0.7769
Inyo,36.51018088,-117.4056486,7,1,0.1853
Kern,35.34356617,-118.7290588,10,0,0.4514
Kings,36.0749657,-119.8158487,12,1,0.1737
Lake,39.09948736,-122.752794,8,40,0.7031
Lassen,40.67263695,-120.5932956,10,21,0.0978
Los Angeles,34.34090887,-118.2210735,9,29,0.5369
Madera,37.2178349,-119.7647387,10,12,0.6075
Marin,38.0719527,-122.7183822,10,20,0.4111
Mariposa,37.58147957,-119.9059522,8,48,0.7706
Mendocino,39.43881678,-123.3911212,1,59,0.5347
Merced,37.19169257,-120.7184407,12,2,0.2841
Modoc,41.58966704,-120.725028,10,5,0.3861
Mono,37.93841561,-118.8839652,10,0,0.12
Monterey,36.21688725,-121.237,6,18,0.5341
Napa,38.50767802,-122.3305903,9,24,0.712
Nevada,39.30168883,-120.7695324,1,56,0.8064
Orange,33.70282275,-117.7609117,13,9,0.3213
Placer,39.06382386,-120.7190078,7,27,0.4
Plumas,40.00466193,-120.8379589,1,57,0.9181
Riverside,33.74669045,-115.9939512,16,0,0.1138
Sacramento,38.44905839,-121.3445272,10,5,0.434
San Benito,36.60553393,-121.0740965,10,12,0.3397
San Bernardino,34.84207534,-116.1766481,16,0,0.0506
San Diego,33.03572378,-116.7327974,6,8,0.2788
San Francisco,37.75609712,-122.4409258,13,19,0.2452
San Joaquin,37.93444121,-121.2716709,13,1,0.1461
San Luis Obispo,35.38719307,-120.4029593,9,12,0.4584
San Mateo,37.42223197,-122.3286449,1,69,0.7813
Santa Barbara,34.72488662,-120.0222394,6,25,0.3906
Santa Clara,37.23152185,-121.6943792,10,15,0.4554
Santa Cruz,37.05626534,-122.0015727,13,25,0.6274
Shasta,40.76366216,-122.0413547,8,46,0.7117
Sierra,39.5806941,-120.5160239,8,21,0.2134
Siskiyou,41.59333999,-122.5404058,10,2,0.3939
Solano,38.27150825,-121.929655,13,2,0.2467
Sonoma,38.52858543,-122.8867224,9,26,0.6815
Stanislaus,37.55894829,-120.9985021,12,12,0.477
Sutter,39.03427837,-121.6945499,12,23,0.05
Tehama,40.12605646,-122.2345053,10,3,0.5485
Trinity,40.64915276,-123.1140042,1,55,0.3246
Tulare,36.22005498,-118.8003742,10,10,0.4623
Tuolumne,38.02765431,-119.9549497,9,35,0.6405
Ventura,34.47088144,-119.0778457,9,18,0.7212
Yolo,38.68655803,-121.9005836,12,11,0.4769
Yuba,39.26875431,-121.3518003,10,8,0.6044
